question,option_a,option_b,option_c,option_d,answer
Classical conditioning was first studied by: (Variant 1),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 2),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 3),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 4),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 5),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 6),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 7),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 8),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 9),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 10),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 11),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 12),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 13),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 14),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 15),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 16),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 17),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 18),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 19),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 20),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 21),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 22),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 23),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 24),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 25),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 26),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 27),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 28),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 29),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 30),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
Classical conditioning was first studied by: (Variant 31),Pavlov,Skinner,Bandura,Thorndike,Pavlov
The part of the brain responsible for vision: (Variant 32),Occipital lobe,Frontal lobe,Parietal lobe,Cerebellum,Occipital lobe
Memory responsible for temporary storage: (Variant 33),STM,LTM,Sensory memory,Implicit memory,STM
Founder of psychoanalysis: (Variant 34),Freud,Jung,Adler,Erikson,Freud
Chemical messengers in the brain are called: (Variant 35),Neurotransmitters,Neurons,Hormones,Receptors,Neurotransmitters
The ‘fight or flight’ response is activated by: (Variant 36),Sympathetic NS,Parasympathetic NS,PNS,Somatic NS,Sympathetic NS
Reinforcement strengthens: (Variant 37),Behaviour,Cognition,Emotions,Memory,Behaviour
The hippocampus is crucial for: (Variant 38),Memory,Speech,Vision,Motor control,Memory
Bystander effect was demonstrated by: (Variant 39),Darley & Latané,Skinner,Freud,Piaget,Darley & Latané
The DSM-5 is used for: (Variant 40),Diagnosis,Memory testing,Brain imaging,Personality typing,Diagnosis
